timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796502.574,225.586,833.984,-18.066,-833.984,0.000
1731796502.578,-786.133,973.633,40.527,736.328,0.000
1731796502.582,777.344,-723.145,26.367,787.109,0.000
1731796502.585,-788.086,-1000.000,-29.297,-935.059,0.000
1731796502.589,-583.984,662.598,-17.578,-995.117,0.000
1731796502.593,-963.867,-930.664,45.898,668.457,0.000
1731796502.597,952.637,-549.805,49.805,-965.820,0.000
1731796502.601,-670.898,-1000.000,-18.555,-688.477,0.000
1731796502.605,-965.332,297.852,-44.434,-1000.000,0.000
1731796502.609,639.648,-795.410,18.066,540.039,0.000
1731796502.613,-769.531,413.574,38.574,-777.832,0.000
1731796502.617,-51.270,-1000.000,-13.672,63.477,0.000
1731796502.621,-927.734,-480.957,-46.387,-1000.000,0.000
1731796502.625,514.648,-931.152,0.977,209.961,0.000
1731796502.628,-767.090,753.906,38.086,-799.805,0.000
1731796502.632,642.578,-867.188,-4.883,761.719,0.000
1731796502.636,-796.387,-976.562,-58.105,-806.152,0.000
1731796502.640,82.520,727.539,-20.996,-624.512,0.000
1731796502.644,-781.738,998.535,34.668,-983.887,0.000
1731796502.648,851.074,-723.633,13.184,939.453,0.000
1731796502.652,-702.148,-1000.000,-40.039,-701.172,0.000
1731796502.656,-722.168,646.484,-21.973,-989.258,0.000
1731796502.660,941.406,-937.012,54.199,677.734,0.000
1731796502.664,-924.316,-518.066,57.617,-840.820,0.000
1731796502.667,-481.934,-1000.000,-14.160,-425.781,0.000
1731796502.671,-1000.000,161.133,-41.992,-1000.000,0.000
1731796502.675,569.336,-861.816,17.090,531.250,0.000
1731796502.679,-745.605,9.766,35.645,-771.973,0.000
1731796502.683,170.898,-1000.000,-9.766,328.613,0.000
1731796502.687,-894.043,-654.785,-50.293,-1000.000,0.000
1731796502.691,438.965,902.832,-11.230,-24.902,0.000
1731796502.695,-766.602,897.949,31.738,-813.965,0.000
1731796502.699,701.172,-792.969,-0.488,765.137,0.000
1731796502.703,-786.621,-1000.000,-44.922,-822.266,0.000
1731796502.707,-104.980,721.680,-16.113,-813.477,0.000
1731796502.710,-812.012,971.680,36.621,907.227,0.000
1731796502.714,870.117,-754.395,10.254,966.797,0.000
1731796502.718,-697.754,-1000.000,-46.387,-708.496,0.000
1731796502.722,-848.145,597.656,-41.992,-1000.000,0.000
1731796502.726,853.027,-879.395,24.414,652.344,0.000
1731796502.730,-897.461,-390.137,41.992,-904.297,0.000
1731796502.734,-487.305,-1000.000,-16.113,-479.004,0.000
1731796502.738,-1000.000,124.023,-45.410,-1000.000,0.000
1731796502.742,576.172,-823.242,4.395,272.949,0.000
1731796502.746,-760.254,264.648,31.738,-848.633,0.000
1731796502.750,27.344,-1000.000,-12.695,-109.863,0.000
1731796502.753,-1000.000,-575.684,-56.641,-1000.000,0.000
1731796502.757,364.746,978.516,-5.859,-580.566,0.000
1731796502.761,-773.438,840.332,48.828,955.566,0.000
1731796502.765,676.758,-806.152,22.461,601.074,0.000
1731796502.769,-865.234,-1000.000,-36.621,-999.023,0.000
1731796502.773,-354.980,671.387,-18.066,-979.492,0.000
1731796502.777,-886.230,-938.965,47.852,675.781,0.000
1731796502.781,901.855,-630.371,29.785,967.285,0.000
1731796502.785,-699.707,-1000.000,-38.574,-737.305,0.000
1731796502.789,-924.316,567.383,-36.133,-1000.000,0.000
1731796502.792,776.367,-848.633,17.578,532.715,0.000
1731796502.796,-880.371,-246.094,32.227,-966.797,0.000
1731796502.800,-496.094,-1000.000,-4.883,-522.461,0.000
1731796502.804,-1000.000,-69.824,-46.875,-1000.000,0.000
1731796502.808,570.312,-868.652,12.695,-197.266,0.000
1731796502.812,-764.648,233.887,53.711,-958.984,0.000
1731796502.816,187.988,-1000.000,13.184,-9.277,0.000
1731796502.820,-1000.000,-781.250,-29.297,-1000.000,0.000
1731796502.824,210.449,803.223,0.488,-882.324,0.000
1731796502.828,-781.738,-993.164,51.270,708.984,0.000
1731796502.832,740.723,-690.430,25.879,694.336,0.000
1731796502.835,-832.031,-1000.000,-34.668,-971.680,0.000
1731796502.839,-627.441,647.949,-9.766,-1000.000,0.000
1731796502.843,-979.004,-892.578,56.641,566.895,0.000
1731796502.847,936.035,-470.703,54.688,937.500,0.000
1731796502.851,-692.871,-1000.000,-1.465,-632.324,0.000
1731796502.855,-1000.000,324.219,-6.348,-1000.000,0.000
1731796502.859,662.109,-798.828,38.574,-293.457,0.000
1731796502.863,-867.188,151.367,38.086,789.062,0.000
1731796502.867,-512.207,-1000.000,3.418,-485.840,0.000
1731796502.871,-1000.000,-389.648,-20.508,-1000.000,0.000
1731796502.875,552.734,-945.312,41.504,-776.855,0.000
1731796502.878,-775.391,819.824,80.078,638.672,0.000
1731796502.882,238.281,-816.895,32.227,-50.293,0.000
1731796502.886,-1000.000,-952.148,-22.461,-1000.000,0.000
1731796502.890,23.926,770.508,9.277,-892.578,0.000
1731796502.894,-823.242,-996.094,58.105,645.020,0.000
1731796502.898,824.707,-710.938,43.457,814.941,0.000
1731796502.902,-762.695,-1000.000,-14.160,-891.113,0.000
1731796502.906,-812.012,633.789,-9.277,-1000.000,0.000
1731796502.910,933.594,-874.512,59.570,517.578,0.000
1731796502.914,967.285,-393.555,84.473,986.816,0.000
1731796502.917,-704.102,-1000.000,24.414,-625.977,0.000
1731796502.921,-1000.000,225.586,-29.785,-1000.000,0.000
1731796502.925,623.535,-823.730,28.320,75.684,0.000
1731796502.929,-830.566,149.902,50.293,947.266,0.000
1731796502.933,-400.391,-1000.000,7.324,-485.840,0.000
1731796502.937,-1000.000,-687.500,-23.926,-1000.000,0.000
1731796502.941,457.520,939.941,25.879,-657.227,0.000
1731796502.945,-772.949,653.320,45.898,825.195,0.000
1731796502.949,452.637,-998.047,-10.254,121.094,0.000
1731796502.953,-1000.000,-903.809,-38.086,-1000.000,0.000
1731796502.957,-199.707,751.465,-13.184,-991.699,0.000
1731796502.960,-864.746,-987.793,-5.859,539.551,0.000
1731796502.964,875.000,-694.824,-23.438,749.023,0.000
1731796502.968,-719.238,-1000.000,-63.477,-861.328,0.000
1731796502.972,-894.531,600.586,-72.754,-1000.000,0.000
1731796502.976,865.234,-848.633,-5.371,53.223,0.000
1731796502.980,990.234,-381.836,5.371,914.551,0.000
1731796502.984,-705.078,-1000.000,-56.641,-570.312,0.000
1731796502.988,-1000.000,356.934,-83.984,-1000.000,0.000
1731796502.992,606.934,-806.152,-41.992,-127.441,0.000
1731796502.996,-803.711,221.191,-13.184,961.426,0.000
1731796503.000,-231.445,-1000.000,-57.129,-326.660,0.000
1731796503.003,-1000.000,-703.125,-112.793,-1000.000,0.000
1731796503.007,327.637,906.250,-43.945,-677.246,0.000
1731796503.011,-780.762,878.418,39.551,854.004,0.000
1731796503.015,616.699,-806.641,10.254,462.402,0.000
1731796503.019,-940.430,-1000.000,-63.965,-1000.000,0.000
1731796503.023,-455.078,695.312,-39.551,-968.262,0.000
1731796503.027,-929.199,-973.145,21.484,666.504,0.000
1731796503.031,916.016,-663.086,-16.113,871.582,0.000
1731796503.035,-689.941,-1000.000,-50.293,-754.395,0.000
1731796503.039,-993.164,499.512,-55.664,-1000.000,0.000
1731796503.042,743.652,-839.844,1.953,110.352,0.000
1731796503.046,-952.637,-262.695,69.336,909.180,0.000
1731796503.050,-659.668,-1000.000,20.020,-559.570,0.000
1731796503.054,-1000.000,8.789,-11.719,-1000.000,0.000
1731796503.058,602.051,-883.789,39.551,-778.809,0.000
1731796503.062,-800.293,835.449,70.312,531.738,0.000
1731796503.066,-129.395,-759.766,77.148,-335.938,0.000
1731796503.070,-1000.000,-850.586,-6.348,-1000.000,0.000
1731796503.074,201.172,837.891,34.180,-1000.000,0.000
1731796503.078,-791.992,965.820,133.301,-313.477,0.000
1731796503.082,674.316,-587.891,137.207,2.930,0.000
1731796503.085,-908.691,-1000.000,96.680,-1000.000,0.000
1731796503.089,-675.293,653.809,61.523,-1000.000,0.000
1731796503.093,988.281,-923.828,135.254,-969.238,0.000
1731796503.097,947.754,-596.191,126.953,-1000.000,0.000
1731796503.101,-697.266,-1000.000,91.309,-1000.000,0.000
1731796503.105,-1000.000,454.590,80.566,-1000.000,0.000
1731796503.109,665.527,-807.617,118.164,-1000.000,0.000
1731796503.113,-878.906,82.031,254.883,-1000.000,0.000
1731796503.117,-523.438,-1000.000,171.387,-1000.000,0.000
1731796503.121,-1000.000,-381.836,17.578,-1000.000,0.000
1731796503.125,541.016,-937.500,41.016,-1000.000,0.000
1731796503.128,-799.316,723.633,76.172,-1000.000,0.000
1731796503.132,30.762,-898.438,-73.730,-1000.000,0.000
1731796503.136,-1000.000,-932.617,-205.566,-1000.000,0.000
1731796503.140,-150.879,785.156,-177.734,-1000.000,0.000
1731796503.144,-840.820,940.918,-255.859,-1000.000,0.000
1731796503.148,580.566,-776.855,-403.809,-1000.000,0.000
1731796503.152,-982.910,-1000.000,-462.891,-1000.000,0.000
1731796503.156,-877.930,675.293,-461.426,-1000.000,0.000
1731796503.160,803.223,-989.258,-458.496,-1000.000,0.000
1731796503.164,989.746,-632.324,-443.359,-1000.000,0.000
1731796503.167,-716.797,-1000.000,-473.633,-1000.000,0.000
1731796503.171,-1000.000,222.656,-476.562,-1000.000,0.000
